County,Stabr,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
Brevard County,FL,0.5,2.6,10.8,10.9,0.1,2.8,83.2,73.8
Brewster County,TX,1.8,1.7,1.7,45.2,0.1,2.3,92.3,49.8
Briscoe County,TX,0.7,0.3,3.3,25.0,-1.0,2.7,93.0,68.8
Bristol Bay Borough,AK,35.0,1.8,0.8,7.4,0.2,20.5,41.6,39.6
Bristol County,MA,0.6,2.5,6.1,8.6,0.1,2.4,88.3,81.8
Bristol County,RI,0.3,2.5,1.5,3.2,0.1,2.0,93.7,91.0
Bristol City,VA,0.0,0.2,5.7,2.3,0.0,3.2,90.5,88.2
Broadwater County,MT,1.5,0.3,0.6,2.9,0.1,1.7,95.8,93.3
Bronx County,NY,2.9,4.6,43.6,56.4,0.4,3.8,44.7,9.0
Brooke County,WV,0.2,0.5,1.5,0.9,0.0,1.5,96.3,95.6
Brookings County,SD,1.2,2.8,1.4,3.5,0.1,1.8,92.7,89.9
Brooks County,GA,0.4,1.1,35.2,6.2,0.2,1.6,61.4,56.3
Brooks County,TX,0.7,1.1,1.1,91.4,0.0,0.5,96.5,6.8
Broome County,NY,0.3,4.4,6.4,4.4,0.1,3.1,85.8,82.7
Broomfield County,CO,0.8,6.9,1.5,12.7,0.1,2.9,87.8,76.4
Broward County,FL,0.4,3.9,30.2,31.1,0.1,2.3,63.1,34.8
Brown County,IL,1.3,0.3,18.9,6.9,0.0,0.9,78.5,73.4
Brown County,IN,0.6,0.5,0.7,1.8,0.0,1.4,96.8,95.3
Brown County,KS,9.6,0.6,1.6,5.3,0.1,3.2,85.0,82.2
Brown County,MN,0.3,0.9,0.5,4.6,0.0,0.8,97.4,93.1
Brown County,NE,1.2,0.2,0.5,2.7,0.1,1.0,97.1,94.6
Brown County,OH,0.3,0.3,1.0,1.2,0.0,1.2,97.1,96.2
Brown County,SD,3.4,2.8,2.4,3.6,0.2,2.2,89.0,86.2
Brown County,TX,0.9,0.8,4.1,23.1,0.1,1.8,92.4,70.6
Brown County,WI,3.4,3.4,3.0,9.0,0.1,2.4,87.8,80.3
Brule County,SD,10.0,0.4,0.6,3.2,0.0,3.8,85.1,83.3
Brunswick County,NC,0.8,0.7,10.0,4.9,0.1,1.8,86.5,82.3
Brunswick County,VA,0.4,0.9,54.8,2.5,0.1,1.5,42.4,40.7
Bryan County,GA,0.6,2.3,15.2,7.6,0.2,3.5,78.3,72.2
Bryan County,OK,14.8,0.6,2.0,6.3,0.1,7.8,74.7,70.2
Buchanan County,IA,0.2,0.6,0.6,1.7,0.0,1.2,97.4,95.8
Buchanan County,MO,0.8,1.5,6.0,6.9,0.5,2.8,88.5,82.7
Buchanan County,VA,0.2,0.4,3.4,0.9,0.0,0.7,95.3,94.6
Buckingham County,VA,0.4,0.4,33.7,2.4,0.0,2.1,63.3,61.3
Bucks County,PA,0.3,5.2,4.5,5.7,0.1,1.8,88.1,83.3
Buena Vista County,IA,0.6,10.0,3.4,26.4,1.8,1.5,82.7,58.0
Buena Vista City,VA,0.1,1.9,7.3,1.8,0.2,0.6,89.2,88.1
Buffalo County,NE,0.6,1.5,1.2,9.3,0.1,1.5,95.0,86.6
Buffalo County,SD,80.6,0.1,0.8,5.4,0.1,2.9,15.6,14.9
Buffalo County,WI,0.4,0.5,0.6,2.3,0.0,1.2,97.3,95.4
